id,acorn,acorn-grouped
2,ACORN-A,Affluent
3,ACORN-P,Adversity
4,ACORN-E,Affluent
6,ACORN-Q,Adversity
7,ACORN-H,Comfortable
8,ACORN-H,Comfortable
9,ACORN-L,Adversity
10,ACORN-H,Comfortable
11,ACORN-N,Adversity
12,ACORN-E,Affluent
13,ACORN-K,Adversity
16,ACORN-K,Adversity
18,ACORN-E,Affluent
19,ACORN-K,Adversity
20,ACORN-J,Comfortable
21,ACORN-E,Affluent
22,ACORN-Q,Adversity
23,ACORN-U,ACORN-U
24,ACORN-E,Affluent
25,ACORN-P,Adversity
26,ACORN-D,Affluent
27,ACORN-J,Comfortable
28,ACORN-E,Affluent
29,ACORN-P,Adversity
30,ACORN-A,Affluent
32,ACORN-Q,Adversity
33,ACORN-E,Affluent
34,ACORN-E,Affluent
35,ACORN-E,Affluent
36,ACORN-E,Affluent
37,ACORN-E,Affluent
38,ACORN-L,Adversity
39,ACORN-F,Comfortable
40,ACORN-A,Affluent
41,ACORN-Q,Adversity
42,ACORN-Q,Adversity
43,ACORN-H,Comfortable
45,ACORN-E,Affluent
47,ACORN-Q,Adversity
49,ACORN-E,Affluent
50,ACORN-D,Affluent
53,ACORN-F,Comfortable
54,ACORN-Q,Adversity
55,ACORN-K,Adversity
56,ACORN-Q,Adversity
57,ACORN-E,Affluent
58,ACORN-E,Affluent
59,ACORN-H,Comfortable
60,ACORN-F,Comfortable
61,ACORN-Q,Adversity
62,ACORN-H,Comfortable
63,ACORN-D,Affluent
66,ACORN-E,Affluent
67,ACORN-N,Adversity
68,ACORN-L,Adversity
69,ACORN-G,Comfortable
70,ACORN-H,Comfortable
72,ACORN-E,Affluent
73,ACORN-D,Affluent
74,ACORN-H,Comfortable
77,ACORN-Q,Adversity
78,ACORN-E,Affluent
79,ACORN-D,Affluent
80,ACORN-E,Affluent
81,ACORN-K,Adversity
83,ACORN-J,Comfortable
84,ACORN-D,Affluent
85,ACORN-D,Affluent
86,ACORN-E,Affluent
87,ACORN-E,Affluent
89,ACORN-H,Comfortable
90,ACORN-Q,Adversity
91,ACORN-H,Comfortable
92,ACORN-Q,Adversity
93,ACORN-H,Comfortable
