id,acorn,acorn-grouped,aff
2,ACORN-A,Affluent,1
3,ACORN-P,Adversity,0
4,ACORN-E,Affluent,1
6,ACORN-Q,Adversity,0
7,ACORN-H,Comfortable,0
8,ACORN-H,Comfortable,0
9,ACORN-L,Adversity,0
10,ACORN-H,Comfortable,0
11,ACORN-N,Adversity,0
12,ACORN-E,Affluent,1
13,ACORN-K,Adversity,0
16,ACORN-K,Adversity,0
18,ACORN-E,Affluent,1
19,ACORN-K,Adversity,0
20,ACORN-J,Comfortable,0
21,ACORN-E,Affluent,1
22,ACORN-Q,Adversity,0
23,ACORN-U,ACORN-U,0
24,ACORN-E,Affluent,1
25,ACORN-P,Adversity,0
26,ACORN-D,Affluent,1
27,ACORN-J,Comfortable,0
28,ACORN-E,Affluent,1
29,ACORN-P,Adversity,0
30,ACORN-A,Affluent,1
32,ACORN-Q,Adversity,0
33,ACORN-E,Affluent,1
34,ACORN-E,Affluent,1
35,ACORN-E,Affluent,1
36,ACORN-E,Affluent,1
37,ACORN-E,Affluent,1
38,ACORN-L,Adversity,0
39,ACORN-F,Comfortable,0
40,ACORN-A,Affluent,1
41,ACORN-Q,Adversity,0
42,ACORN-Q,Adversity,0
43,ACORN-H,Comfortable,0
45,ACORN-E,Affluent,1
47,ACORN-Q,Adversity,0
49,ACORN-E,Affluent,1
50,ACORN-D,Affluent,1
53,ACORN-F,Comfortable,0
54,ACORN-Q,Adversity,0
55,ACORN-K,Adversity,0
56,ACORN-Q,Adversity,0
57,ACORN-E,Affluent,1
58,ACORN-E,Affluent,1
59,ACORN-H,Comfortable,0
60,ACORN-F,Comfortable,0
61,ACORN-Q,Adversity,0
62,ACORN-H,Comfortable,0
63,ACORN-D,Affluent,1
66,ACORN-E,Affluent,1
67,ACORN-N,Adversity,0
68,ACORN-L,Adversity,0
69,ACORN-G,Comfortable,0
70,ACORN-H,Comfortable,0
72,ACORN-E,Affluent,1
73,ACORN-D,Affluent,1
74,ACORN-H,Comfortable,0
77,ACORN-Q,Adversity,0
78,ACORN-E,Affluent,1
79,ACORN-D,Affluent,1
80,ACORN-E,Affluent,1
81,ACORN-K,Adversity,0
83,ACORN-J,Comfortable,0
84,ACORN-D,Affluent,1
85,ACORN-D,Affluent,1
