id,acorn,acorn-grouped
2,ACORN-A,Affluent
6,ACORN-Q,Adversity
10,ACORN-H,Comfortable
18,ACORN-E,Affluent
19,ACORN-K,Adversity
27,ACORN-J,Comfortable
40,ACORN-A,Affluent
49,ACORN-E,Affluent
57,ACORN-E,Affluent
60,ACORN-F,Comfortable
91,ACORN-H,Comfortable
99,ACORN-U,ACORN-U
100,ACORN-N,Adversity
102,ACORN-Q,Adversity
111,ACORN-M,Adversity
116,ACORN-E,Affluent
117,ACORN-L,Adversity
123,ACORN-K,Adversity
131,ACORN-E,Affluent
140,ACORN-C,Affluent
145,ACORN-F,Comfortable
152,ACORN-E,Affluent
162,ACORN-Q,Adversity
168,ACORN-E,Affluent
179,ACORN-E,Affluent
180,ACORN-F,Comfortable
181,ACORN-E,Affluent
228,ACORN-E,Affluent
248,ACORN-F,Comfortable
255,ACORN-K,Adversity
260,ACORN-G,Comfortable
267,ACORN-K,Adversity
270,ACORN-E,Affluent
277,ACORN-F,Comfortable
280,ACORN-E,Affluent
281,ACORN-K,Adversity
295,ACORN-E,Affluent
301,ACORN-E,Affluent
306,ACORN-E,Affluent
307,ACORN-E,Affluent
312,ACORN-E,Affluent
313,ACORN-Q,Adversity
314,ACORN-F,Comfortable
317,ACORN-D,Affluent
320,ACORN-E,Affluent
322,ACORN-D,Affluent
323,ACORN-A,Affluent
330,ACORN-E,Affluent
331,ACORN-E,Affluent
349,ACORN-E,Affluent
350,ACORN-P,Adversity
355,ACORN-E,Affluent
357,ACORN-E,Affluent
359,ACORN-E,Affluent
363,ACORN-O,Adversity
367,ACORN-E,Affluent
373,ACORN-L,Adversity
376,ACORN-E,Affluent
381,ACORN-H,Comfortable
390,ACORN-L,Adversity
396,ACORN-E,Affluent
397,ACORN-F,Comfortable
415,ACORN-E,Affluent
443,ACORN-E,Affluent
455,ACORN-D,Affluent
462,ACORN-D,Affluent
496,ACORN-E,Affluent
498,ACORN-H,Comfortable
502,ACORN-F,Comfortable
506,ACORN-E,Affluent
507,ACORN-Q,Adversity
510,ACORN-Q,Adversity
539,ACORN-F,Comfortable
542,ACORN-Q,Adversity
547,ACORN-H,Comfortable
566,ACORN-K,Adversity
568,ACORN-L,Adversity
572,ACORN-D,Affluent
573,ACORN-L,Adversity
578,ACORN-H,Comfortable
580,ACORN-Q,Adversity
604,ACORN-O,Adversity
612,ACORN-E,Affluent
614,ACORN-H,Comfortable
615,ACORN-Q,Adversity
618,ACORN-E,Affluent
621,ACORN-K,Adversity
623,ACORN-K,Adversity
632,ACORN-D,Affluent
634,ACORN-F,Comfortable
638,ACORN-H,Comfortable
644,ACORN-L,Adversity
649,ACORN-P,Adversity
